,street,latitude,longitude
110,вул. Генерала Чупринки 55А,49.8301169,24.00810528
111,вул. Білогорща 57,49.84487385,23.93232409
112,вул. Білогорща 144,49.845233,23.93293825
113,вул. Личаківська 74,49.8390356,24.05256877
114,вул. Личаківська 113,49.83866735,24.05560799
115,вул. І. Миколайчука (навпроти № 28),49.8794455,24.03714048
116,вул. В. Липинського (навпроти № 65),49.8655665,24.0462887
117,вул. І. Миколайчука,49.8665237,24.0445741
118,вул. Наукова 64А,49.804932,23.992501
119,вул. І. Пулюя  34А,49.800673,23.98919354
120,вул. І. Кавалерідзе 2,49.7937212,24.06411979
121,вул. І. Кавалерідзе 9,49.79273705,24.06613564
122,вул. Сихівська 5,49.79436835,24.06578469
123,вул. Сихівська 20,49.79504215,24.06315795
124,вул. Сихівська 18,49.79486155,24.06358534
125,вул. І. Рубчака 2,49.80573005,24.01704857
126,вул. Івана Франка (с. Муроване) ?,49.87722876,24.07776127
127,вул. К. Трильовського 21,49.78414515,24.06661735
128,вул. К. Трильовського 1,49.78707675,24.066759
129,вул. К. Трильовського (навпроти № 1),49.78707675,24.066759
130,вул. Медової Печери 30,49.8242092,24.07986895
131,вул. Медової Печери 45,49.8247128,24.07955986
132,вул. П. Мирного 26,49.81326435,24.03541864
133,вул. П. Мирного 37,49.81423855,24.03564675
134,вул. Генерала Чупринки 27,49.8318023,24.01150884
135,вул. Генерала Чупринки 36,49.83255315,24.01201363
136,вул. Наукова 30,49.8043073,24.00047658
137,вул. Академіка А.Сахарова 17,49.82609665,24.01079721
138,вул. Академіка А.Сахарова 56,49.82542705,24.0104381
139,вул. Князя Романа 26,49.8375341,24.0330145
140,"вул. Ковельська (вул. Пластова, 2)",49.85908559,24.05913854
141,вул. Пластова 4,49.8592325,24.06171305
142,вул. Ковельська (навпроти № 63),49.8600886,24.05996921
143,вул. Козельницька 4,49.81762535,24.02295529
144,вул. П. Мирного 4,49.81655565,24.02651501
145,вул. І. Франка 159,49.81833295,24.02573939
146,вул. Луганська,49.8077555,24.0465089
147,вул. Зелена 306,49.7907574,24.07373715
148,просп. Червоної Калини 97,49.7871816,24.05974327
149,вул. Коломийська 7,49.78857755,24.06149339
150,вул. Коломийська 9,49.78796785,24.06504576
151,вул. Коломийська (навпроти № 9),49.78796785,24.06504576
152,вул. С. Бандери 53,49.834573,24.01007519
153,вул. С. Бандери 26,49.8349307,24.00917243
154,вул. Зелена (навпроти № 109),49.82390585,24.05248068
155,вул. Зелена 107,49.82430985,24.05140938
156,вул. Кукурудзяна (перехрестя з вул. Ковельською),49.8648895,24.0538506
157,вул. Кульпарківська 66,49.8212211,23.9886013
158,вул. Городоцька 128,49.8353011,23.9892467
159,вул. І. Виговського 89,49.81287035,23.98223389
160,вул. І. Виговського (навпроти № 89),49.81287035,23.98223389
161,вул. Городоцька 189,49.83428915,23.99004407
162,вул. Кульпарківська 3,49.83412825,23.99105093
163,вул. Любінська 4,49.83379745,23.99037775
164,"вул. Курортна (вул. Львівська, 23)",49.90443643,23.96006311
165,вул. Львівська 20,49.8403901,24.0357132
166,"вул. Курортна (вул. Львівська, 21)",49.90443643,23.96006311
167,вул. В. Липинського 44,49.86340035,24.03386603
168,вул. В. Липинського (навпроти № 36),49.8624966,24.0320935
169,вул. Білогорща 50,49.8442179,23.9406544
170,вул. Білогорща (навпроти № 50),49.8442179,23.9406544
171,вул. Левандівська 1,49.8489598,23.9957147
172,вул. Левандівська 10,49.8488177,23.99467735
173,вул. Г. Мазепи (перехрестя з вул. Л.Українки),49.8695623,24.0253176
174,вул. Т. Шевченка (перехрестя з вул. Л.Українки),49.84278107,24.01808006
175,вул. Зелена 130,49.8197818,24.05629286
176,вул. Листопадового Чину 10,49.8407356,24.02057013
177,вул. С. Литвиненка 19,49.813983,24.04188288
178,вул. Зелена 238,49.8061727,24.06143729
179,вул. Луганська 3,49.8074023,24.05241924
180,вул. Луганська 6,49.8079815,24.05514974
181,вул. І. Виговського 41,49.8196907,23.97027302
182,"вул. І. Виговського (вул. Чуваська, 12)",49.81983365,23.96908647
183,вул. Княгині Ольги 11,49.81807025,24.00398195
184,вул. Княгині Ольги 74А,49.8197669,24.00171775
185,вул. Княгині Ольги 55,49.81297835,24.00094029
186,вул. Княгині Ольги 104,49.8114709,23.99947198
187,вул. М. Кордуби,49.8509114,24.0444676
188,вул. Є. Патона 7,49.82096725,23.96419477
189,вул. Є. Патона 2/2,49.8232006,23.96592535
190,вул. Любінська 160,49.8193177,23.96347984
191,вул. Любінська 171,49.81872605,23.96463409
192,вул. М. Скрипника 39,49.78240025,24.05255719
193,вул. Т. Шевченка 384,49.87090895,23.94622672
194,вул. Т. Шевченка (навпроти № 384),49.87090895,23.94622672
195,вул. М. Устияновича 5,49.83633595,24.0151767
196,"вул. М. Хвильового (вул. Миколайчука, 65)",49.8666715,24.0440256
197,вул. Медової Печери 67,49.8234075,24.08465194
198,вул. В. Антоновича 77,49.82975985,23.9982236
199,вул. Медової Печери 1,49.82675375,24.07393684
200,вул. Пасічна 59,49.8260494,24.07405503
201,вул. Пасічна 70,49.82582225,24.07298639
202,вул. Медової Печери (навпроти № 1),49.82675375,24.07393684
203,вул. Ковельська 41,49.8577619,24.0566849
204,вул. Ковельська 50,49.85738175,24.05761365
205,вул. Стрийська 71,49.7923977,24.01712706
206,вул. Стрийська 264,49.7917147,24.01523365
207,вул. М. Максимовича 9,49.79404925,24.02206873
208,вул. Т. Шевченка 54,49.84483225,24.0106731
209,вул. Зелена 308,49.78753265,24.07461775
210,вул. Зелена 405,49.78723995,24.07561045
211,вул. Городоцька 134,49.83378245,23.98474836
212,вул. Городоцька 207,49.8332974,23.98594031
213,"вул. Наукова (вул. Кульпарківська, 141)",49.80460245,23.98183254
