,stop_code,stop_name,stop_desc,stop_lat,stop_lon
75,135,Скнилівок (135),вул. І. Виговського (навпроти № 89),49.812128,23.982142
76,131,Скнилівок (131),"вул. І. Виговського, 89",49.812296999999994,23.981942
77,768,Три Корони (768),вул. Кульпарківська 172,49.814043,23.981416
78,173,Петлюри (173),вул. С. Петлюри 37,49.81981,23.980874
79,171,Садова (171),вул. С. Петлюри 17,49.822107,23.979332
80,477,Антоновича (477),"вул. В. Антоновича (вул. Кульпарківська, 73)",49.825602,23.990461
81,476,Залізняка (476),вул. В. Антоновича 77,49.829827,23.998137
82,475,Мельника (475),"вул. В. Антоновича, 47",49.83163,24.001232
83,490,Фабрика Левинського (490),"вул. Генерала Чупринки, 55а",49.830225,24.007981
84,487,Київська (487),вул. Генерала Чупринки 27,49.831969,24.011419
85,12,Львівська політехніка (12),"вул. Генрала Чупринки (вул. С. Бандери, 11)",49.834546,24.016457
86,71,Січових Стрільців (71),вул. Січових Стрільців 17,49.839619,24.023291
87,41,Листопадового Чину (41),вул. Листопадового Чину 10,49.840514,24.020579
88,48,Устияновича (48),"вул. М. Устияновича, 5",49.836345,24.015968
89,11,Львівська політехніка (11),"вул. Генрала Чупринки, 4",49.834481,24.01621
90,488,Київська (488),"вул. Генерала Чупринки, 36",49.832436,24.012133
91,489,Фабрика Левинського (489),вул. Генерала Чупринки 64,49.83072,24.008705
92,465,Мельника (465),"вул. Мельника, 21",49.830068,24.004970999999998
93,492,Смаль-Стоцького (492),"вул. Героїв УПА, 76",49.830564,23.995525
94,493,Копистинського (493),"вул. Героїв УПА, 80",49.829066,23.992117999999998
95,707,Стадіон Сільмаш (707),"вул. Любінська, буд. Сулими, 1",49.829066999999995,23.987161999999998
96,170,Автостанція №3 (170),"вул. Петлюри, 2",49.822992,23.978377
97,174,Садова (0174),вул. С. Петлюри 2А,49.821828000000004,23.979388
98,172,Петлюри (172),вул. С. Петлюри 30,49.819815000000006,23.980696
99,767,Три Корони (767),вул. Кульпарківська 174,49.814118,23.981416
100,130,Південний (130),"вул. Виговського, 69",49.813671,23.976856
101,320,ТРЦ Кінг Кросс (320),"вул. Стрийська, 30",49.774093,24.012718
102,434,Іподром (434),вул. Стрийська 179,49.778119000000004,24.014170999999997
103,435,Сокільницька (435),"вул. Стрийська, 197",49.784228999999996,24.014322
104,433,Автовокзал (433),"вул. Стрийська, 109",49.787537,24.017771
105,432,Максимовича (432),"вул. Стрийська, 71",49.792621000000004,24.016092
106,431,Гашека (431),"вул. Стрийська, 61",49.794712,24.016521
107,430,Скорини (430),"вул. Стрийська, 57",49.798002000000004,24.017245000000003
108,436,Стрийська-Наукова (436),"вул. Стрийська, 45а",49.802603999999995,24.018361
109,429,Автобусний завод (429),"вул. Стрийська, 45",49.808524,24.019257
110,428,Податкова (428),"вул. Стрийська, 35",49.815149,24.019922
111,75,Дитяча залізниця (75),вул. Стрийська (вхід в парк),49.820428,24.020410000000002
112,76,Академія сухопутних військ (76),вул. Стрийська (монумент слави),49.825140999999995,24.022969
113,81,Стрийський ринок (81),"вул. Ш. Руставелі (вул. Франка, 81, ринок)",49.829516999999996,24.032332999999998
114,292,Ш. Руставелі (292),вул. Ш/ Руставелі (навпроти № 4),49.833934,24.035425
115,29,Шухевича (29),вул. І. Франка 7,49.837368,24.035021
116,62,пл. Різні (62),"пл. Різні (вул. Лазнева, 3)",49.845496999999995,24.026086
117,39,Князя Романа (39),"вул. Князя Романа, 26",49.837659,24.032995
118,291,Ш. Руставелі (291),"вул. Шота Руставелі, 2",49.833876000000004,24.035329
119,80,Стрийський ринок (80),"вул. Ш. Руставелі, 42",49.829668,24.032244
120,567,Академія сухопутних військ (567),"вул. Стрийська (вул. Героїв Майдану, 32)",49.82412,24.020623999999998
121,558,Дитяча залізниця (558),"вул. Стрийська, 72",49.820528,24.020228
122,566,Податкова (566),"вул. Стрийська (вул. Академіка Лазаренка, 2)",49.814975,24.019753
123,559,Автобусний завод (559),"вул. Стрийська, 104",49.807627000000004,24.019037
124,565,Стрийська-Наукова (565),вул. Стрийська  (перехрестя Стрийська-Наукова),49.801302,24.017626
125,560,Скорини (560),"вул. Стрийська, 202",49.797717999999996,24.016804999999998
126,561,Гашека (561),"вул. Стрийська, 244",49.794106,24.016076
127,562,Максимовича (562),"вул. Стрийська,264",49.79144,24.015448000000003
128,563,Автовокзал (563),вул. Стрийська 302,49.787582,24.014606
129,564,Сокільницька (564),"вул. Стрийська, 338",49.783131,24.013849
130,318,Іподром (318),вул. Стрийська,49.777684,24.013876
131,320-01,ТРЦ Кінг Кросс (320-01),"вул. Стрийська, 30",49.774196999999994,24.012589000000002
132,662,Щурата (662),вул. І. Миколайчука (навпроти № 28),49.87877,24.036638
133,658,Лікарня швидкої допомоги (658),"вул. І. Миколайчука, 11",49.874907,24.041259
134,632,Лікарня швидкої допомоги (632),"вул. Гетьмана Мазепи, 21",49.871788,24.039196
135,638,Орлика (638),"вул. Гетьмана Мазепи, 13Б",49.870518,24.031278
136,637,Мазепи (637),"вул. Гетьмана Мазепи, 3А",49.869529,24.025372
137,648,Замарстинів (648),"вул. Замарстинівська, 172",49.870371,24.020557999999998
138,739,Голоско (739),"вул. Варшавська (навпроти Ф. Сеньковича, 40)",49.86929,24.018087
139,612,Варшавська (612),пр.В.Чорновола 103,49.866382,24.016194
140,611,Парк 700-річчя Львова (611),пр. В. Чорновола 67,49.861645,24.018704
141,610,Шевченківська РА (610),"пр. В. Чорновола, 61",49.857668,24.020845
142,13,Магнус (13),вул. Городоцька 8,49.843934999999995,24.024104
143,679,Церква Анни (679),"вул. Т.  Шевченка, 4",49.842758,24.018262
144,681,Я.Мудрого (681),вул. Т. Шевченка 52,49.844352,24.011414000000002
145,682,Турянського (682),вул. Т. Шевченка 94,49.847219,24.002804
146,683,Єрошенка (683),вул. Т. Шевченка 114,49.84815,23.999972
147,142,Левандівська (142),вул. Левандівська 10,49.848406,23.993973999999998
148,141,Естонська (141),вул. Левандівська (навпроти №3),49.846887,23.990343
149,163,Левандівське озеро (163),вул. Повітряна 2Б,49.846344,23.985198
150,729,Озерна (729),"вул. Повітряна, 10-А",49.845989,23.983042
151,157,Олесницького (157),вул. Повітряна 20,49.845355,23.978294
152,160,Пілотів (160),вул. Повітряна 66,49.844509,23.971905
153,804,Калнишевського (804),"вул. П. Калнишевського, 16",49.848766999999995,23.969611999999998
154,177,Суботівська (177),"вул. Суботівська, 13",49.847347,23.965784
155,176,Поліклініка №3 (176),"вул. Суботівська, 2",49.844530999999996,23.96661
156,194,Гніздовського (194),"вул. Широка, 79",49.841778000000005,23.968815
157,746-01,Протезний завод (746-01),"вул. Рудненська, 10",49.836706,23.968646
158,746,Протезний завод (746),вул. Рудненська 10,49.836721000000004,23.969475
159,175,Гніздовського (175),"вул. Суботівська, 2",49.842376,23.967667000000002
160,178,Поліклініка №3 (178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734
161,177-01,Суботівська (177-01),"вул. Суботівська, 12",49.847524,23.966074
162,805,Калнишевського (805),"вул. Калнишевського, 15",49.848036,23.969742999999998
163,159,Пілотів (159),вул. Повітряна 65,49.844388,23.971694
164,158,Олесницького (158),вул. Повітряна 31,49.845247,23.978187
165,730,Бандрівського (730),"вул. Повітряна, 17",49.845861,23.982682
166,162,Левандівське озеро (162),вул. Повітряна 1А,49.846247999999996,23.98538
167,140,Естонська (140),"вул. Левандівська, 3",49.846839,23.990364000000003
168,697,Янівський цвинтар (697),"вул. Шевченка, 89",49.848942,23.996769
169,183,Єрошенка (183),вул. Т. Шевченка 77,49.848017999999996,24.000176
170,182,Турянського (182),вул. Т. Шевченка 53,49.847057,24.003062
171,77,Я.Мудрого (77),"вул. Т. Шевченка, 3А",49.844912,24.00966
172,14,Наливайка (14),вул. Городоцька 27,49.843153,24.022513
173,613,Шевченківська РА (613),"пр. В. Чорновола, 20",49.857727000000004,24.02122
174,618,Парк 700-річчя Львова (618),пр. В. Чорновола (напроти № 93),49.862565000000004,24.018688
175,617,Варшавська (617),пр. В. Чорновола (напроти № 101),49.865843,24.016977
176,614,Голоско (614),пр В. Чорновола (вул. Волошкова 29),49.869786,24.018423000000002
177,636,Мазепи (636),"вул. Гетьмана Мазепи, 2А",49.869354,24.025018
178,631,Орлика (631),"вул. Гетьмана Мазепи, 12",49.870535,24.032534
179,633,Лікарня швидкої допомоги (633),"вул. Гетьмана Мазепи, 22",49.871743,24.03947
180,659,Лікарня швидкої допомоги (659),"вул. І. Миколайчука, 12",49.875119,24.041358
181,763,Розточчя (763),"вул В. Щурата (вул. Розточчя, 168)",49.877188000000004,24.043126
182,619,Щурата (619),"вул. В. Щурата, 12",49.879676,24.038560999999998
183,26,Зернова (26),"вул. Зернова,11",49.846361,24.024991
184,649,Замарстинів (649),"вул. Замарстинівська, 178",49.871272,24.018496
185,650,Поліклініка МВС (650),"вул. Замарстинівська,226",49.873944,24.013517
186,652,Дитячий диспансер (652),вул. Замарстинівська 274,49.877615000000006,24.004027
187,1066,"Брюховичі, Цвинтар (1066)",вул. Львівська,49.896891,23.965479000000002
188,1069,"Брюховичі, джерело (1069)","вул. Львівська, перехрестя з вул. Ясна",49.901459,23.960063
189,1065,"Брюховичі, Курортна (1065)",вул. Львівська 20,49.903743,23.96022
190,1064,"Брюховичі, Пляжна (1064)",вул. Курортна (перехрестя з вул. Пляжна),49.905788,23.957352
191,1062,"Брюховичі, Пансіонат Львів (1062)","смт. Брюховичі, вул. Курортна (перехрестя з вул. Лікарська)",49.907056,23.947623
192,1051,"Брюховичі, Івасюка (1051)","смт. Брюховичі, вул. В. Івасюка, 4",49.90197,23.939536
193,1052,"Брюховичі, Арктична (1052)",вул. В. Івасюка 6,49.901262,23.935706
194,1054,"Брюховичі, Ягідна (1054)",вул. В. Івасюка 32,49.90372,23.929529000000002
195,1056,Брюховичі. Кардіологічна лікарня (1056),вул. В. Івасюка 69,49.905087,23.927563
196,1045,"Брюховичі, Ягідна (1045)",вул. В. Івасюка 45,49.902589,23.930982
197,1053,"Брюховичі, Арктична (1053)",вул. В. Івасюка 19,49.90112,23.93584
198,1057,"Брюховичі, Івасюка (1057)","смт. Брюховичі, вул. В. Івасюка 1Б",49.901922,23.940416
199,1063,"Брюховичі, Вокзал (1063)",вул. Курортна (перехрестя з вул. Незалежності України),49.904133,23.940427
200,1058,"Брюховичі, Пансіонат Львів (1058)",смт. Брюховичі вул. Курортна 10,49.906932,23.947706
201,1059,"Брюховичі, Пляжна (1059)",вул. Курортна 20,49.905602,23.957378
202,1061,"Брюховичі, Курортна (1061)","вул. Курортна (вул. Львівська, 23)",49.904392,23.960066
203,1068,"Брюховичі, Джерело (1068)",вул. Львівська,49.901241,23.960039000000002
204,1067,"Брюховичі, Цвинтар (1067)",вул. Львівська,49.897223,23.964416
205,651,Дитячий диспансер (651),"вул. Замарстинівська, 265",49.877429,24.003979
206,654,Поліклініка МВС (654),"вул. Замарстинівська, 225А",49.873792,24.013522000000002
207,653,Замарстинів (653),"вул. Замарстинівська,223А",49.871285,24.018076999999998
208,54,Куліша (54),вул. П. Куліша 45,49.848921000000004,24.02431
209,575,Чигиринська (575),"вул. Б. Грінченка, 2А",49.870691,24.055433999999998
210,574,Грінченка (574),"вул. Б. Грінченка, 6",49.872029,24.052296
